,age,job,marital,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,y
0,58,5,1,0,2143,1,0,5,8,261,1,999,0,0
1,44,10,2,0,29,1,0,5,8,151,1,999,0,0
2,33,3,1,0,2,1,1,5,8,76,1,999,0,0
3,47,2,1,0,1506,1,0,5,8,92,1,999,0,0
4,33,0,2,0,1,0,0,5,8,198,1,999,0,0
5,35,5,1,0,231,1,0,5,8,139,1,999,0,0
6,28,5,2,0,447,1,1,5,8,217,1,999,0,0
7,42,3,0,1,2,1,0,5,8,380,1,999,0,0
8,58,6,1,0,121,1,0,5,8,50,1,999,0,0
9,43,10,2,0,593,1,0,5,8,55,1,999,0,0
10,41,1,0,0,270,1,0,5,8,222,1,999,0,0
11,29,1,2,0,390,1,0,5,8,137,1,999,0,0
12,53,10,1,0,6,1,0,5,8,517,1,999,0,0
13,58,10,1,0,71,1,0,5,8,71,1,999,0,0
14,57,8,1,0,162,1,0,5,8,174,1,999,0,0
15,51,6,1,0,229,1,0,5,8,353,1,999,0,0
16,45,1,2,0,13,1,0,5,8,98,1,999,0,0
17,57,2,1,0,52,1,0,5,8,38,1,999,0,0
18,60,6,1,0,60,1,0,5,8,219,1,999,0,0
19,33,8,1,0,0,1,0,5,8,54,1,999,0,0
20,28,2,1,0,723,1,1,5,8,262,1,999,0,0
21,56,5,1,0,779,1,0,5,8,164,1,999,0,0
22,32,2,2,0,23,1,1,5,8,160,1,999,0,0
23,25,8,1,0,50,1,0,5,8,342,1,999,0,0
24,40,6,1,0,0,1,1,5,8,181,1,999,0,0
25,44,1,1,0,-372,1,0,5,8,172,1,999,0,0
26,39,5,2,0,255,1,0,5,8,296,1,999,0,0
27,52,3,1,0,113,1,1,5,8,127,1,999,0,0
28,46,5,2,0,-246,1,0,5,8,255,2,999,0,0
29,36,10,2,0,265,1,1,5,8,348,1,999,0,0
30,57,10,1,0,839,0,1,5,8,225,1,999,0,0
31,49,5,1,0,378,1,0,5,8,230,1,999,0,0
32,60,1,1,0,39,1,1,5,8,208,1,999,0,0
33,59,2,1,0,0,1,0,5,8,226,1,999,0,0
34,51,5,1,0,10635,1,0,5,8,336,1,999,0,0
35,57,10,0,0,63,1,0,5,8,242,1,999,0,0
36,25,2,1,0,-7,1,0,5,8,365,1,999,0,0
37,53,10,1,0,-3,0,0,5,8,1666,1,999,0,0
38,36,1,0,0,506,1,0,5,8,577,1,999,0,0
39,37,1,2,0,0,1,0,5,8,137,1,999,0,0
40,44,8,0,0,2586,1,0,5,8,160,1,999,0,0
41,50,5,1,0,49,1,0,5,8,180,2,999,0,0
42,60,2,1,0,104,1,0,5,8,22,1,999,0,0
43,54,6,1,0,529,1,0,5,8,1492,1,999,0,0
44,58,6,1,0,96,1,0,5,8,616,1,999,0,0
45,36,1,2,0,-171,1,0,5,8,242,1,999,0,0
46,58,7,1,0,-364,1,0,5,8,355,1,999,0,0
47,44,10,1,0,0,1,0,5,8,225,2,999,0,0
48,55,10,0,0,0,0,0,5,8,160,1,999,0,0
49,29,5,2,0,0,1,0,5,8,363,1,999,0,0
50,54,2,1,0,1291,1,0,5,8,266,1,999,0,0
51,48,5,0,0,-244,1,0,5,8,253,1,999,0,0
52,32,5,1,0,0,1,0,5,8,179,1,999,0,0
53,42,1,2,0,-76,1,0,5,8,787,1,999,0,0
54,24,10,2,0,-103,1,1,5,8,145,1,999,0,0
55,38,3,2,0,243,0,1,5,8,174,1,999,0,0
56,38,5,2,0,424,1,0,5,8,104,1,999,0,0
57,47,2,1,0,306,1,0,5,8,13,1,999,0,0
